competencia,LEITOS_EXISTENTES,LEITOS_SUS,UTI_TOTAL_EXIST,UTI_TOTAL_SUS,estabelecimentos
202501,108972,61444,15704,7302,1018
202502,108919,61803,15708,7302,1017
202503,109519,61549,15768,7302,1021
202504,109658,61528,16034,7312,1023
202505,109781,61613,16085,7357,1022
202506,110076,61684,16163,7340,1023
202507,110100,61728,16162,7352,1025
202508,109919,61767,16059,7335,1022
202509,110044,61671,16184,7328,1023
202510,110279,61784,16266,7346,1025
202511,110307,61851,16279,7346,1023
202512,110147,61862,16221,7348,1023
