competencia,registros,dias_perm,media_dias_perm,valor_total,registros_morte
202501,238144,1235385.0,5.18755458882021,435555819.75,12105
202502,231291,1147444.0,4.961040420941584,424321619.43,11083
202503,245839,1226936.0,4.990811059270498,437142349.49,11945
202504,244996,1216900.0,4.967019869712159,444358232.1,11590
202505,259070,1298027.0,5.010333114602231,482058358.6,13413
202506,245373,1235481.0,5.03511388783607,461722031.72,13417
202507,254726,1293552.0,5.078209527099707,488733653.82,13830
202508,252978,1250057.0,4.9413664429317965,487194862.86,13300
202509,251007,1240854.0,4.943503567629588,489186340.24,12092
202510,256623,1263042.0,4.921780198968915,492588067.05,11999
202511,239620,1189504.0,4.964126533678324,463150460.21,11617
202512,230733,1181060.0,5.118730307324917,443665011.82,11595
